headline,true_label,predicted_label,confidence,true_label_prob,original_headline
deadlock compensation cfs volunteer,negative,neutral,0.8067,0.1612,deadlock on compensation for cfs volunteers
police stand stawell officer number,neutral,positive,0.4862,0.2881,police stand by stawell officer numbers
forests council hail veneer mill deal,neutral,positive,0.4551,0.452,forests council hails veneer mills deal
banana dominance need supply chain focus,positive,neutral,0.8928,0.0599,banana dominance needs whole of supply chain focus
father happy abduct son home,positive,negative,0.5237,0.4713,father happy to have abducted son home
official investigation air new zealand,negative,neutral,0.8823,0.0768,no official investigation of air new zealand
pro tibet protester campaign,neutral,negative,0.9239,0.0366,pro tibet protesters take campaign to the top
rosewarne united colours hate,negative,positive,0.7541,0.2458,rosewarne united colours of hate
meramist abattoir slaughter neighbour speak frantic activity,negative,neutral,0.9481,0.0253,meramist abattoir slaughter neighbour speaks on frantic activity
fuel price rise surprise,neutral,positive,0.7699,0.1051,fuel price rise no surprise
copyright dispute see architectural nominee remove award,positive,negative,0.5628,0.4345,copyright dispute sees architectural nominee removed from awards
careflight not keep busy disaster fill weekend rescue,negative,positive,0.5131,0.4837,careflight nt kept busy over disaster filled weekend of rescues
future antarctic plane undecided,negative,neutral,0.8363,0.1231,future of antarctic plane undecided
qanta chief call fair foreign ownership rule,neutral,positive,0.7578,0.2181,qantas chief calls for fairer foreign ownership rules
future glenside site question,negative,neutral,0.7946,0.1968,future of glenside site questioned
police urge calm miss sa,neutral,positive,0.6224,0.0001,police urge calm over those missing in sa
police determine grog ban impact,neutral,negative,0.6294,0.3663,police yet to determine grog bans impact
green army launch,positive,neutral,0.8404,0.0639,green army launched
nff highlight pacific scheme misunderstanding,negative,neutral,0.8699,0.0382,nff highlights pacific scheme misunderstanding
coate announce ax darcy olympic team,neutral,negative,0.6352,0.2332,coates announces axing of darcy from olympic team
asylum seeker rescue stricken boat,negative,positive,0.7815,0.2161,asylum seekers rescued from stricken boat
airline reduce carbon footprint significantly,positive,neutral,0.8145,0.0207,top airlines have not reduced carbon footprint significantly
iraq dominate presidential debate,positive,negative,0.6312,0.1993,iraq dominates second presidential debate
taskforce member not recall agree high,negative,positive,0.4842,0.0505,taskforce member cant recall agreeing to higher
optimal response property bubble conference,positive,neutral,0.9502,0.0078,no optimal response to property bubbles conference
flight school investigate trainee crash,negative,neutral,0.6059,0.3931,flight school investigates trainees crash
coronavirus australia victoria daniel andrews victoria death,neutral,negative,0.6298,0.366,coronavirus australia victoria daniel andrews victoria deaths
aboriginal stockman turn guerrilla fighter,positive,negative,0.7508,0.1574,aboriginal stockman turned guerrilla fighter
central aust transport pioneer die aged,negative,neutral,0.9204,0.0395,central aust transport pioneer dies aged 86
john torney find guilty murder mildura toddler,positive,negative,0.9825,0.0151,john torney found not guilty of murdering mildura toddler
iran see change policy,negative,neutral,0.822,0.1504,iran sees no change in us policy
boy die fall car inquest witness,negative,neutral,0.5252,0.4639,boy died after falling out of car inquest witness
tennis hopeful head red centre tournament,neutral,positive,0.5679,0.4314,tennis hopefuls head for red centre tournament
woman body sham london tube overweight haters ltd,negative,neutral,0.7906,0.1944,women body shamed on london tube by overweight haters ltd
venezuela arrests air france cocaine drug,negative,neutral,0.8377,0.1512,venezuela arrests air france cocaine drugs
sticky situation geraldton airport leave passenger strand,neutral,negative,0.4869,0.4754,sticky situation at geraldton airport leaves passengers stranded
mitchell pearce dog film engage lewd act,positive,neutral,0.9087,0.0408,mitchell pearce dog filmed engaging in lewd act
boko haram release abducted girl official,negative,neutral,0.8325,0.1228,boko haram releases 21 abducted girls officials say
scorsese tout film restoration project,neutral,negative,0.6123,0.3275,scorsese touts film restoration project
federal police seek charge abc investigation afghan file dpp,negative,neutral,0.5418,0.4202,federal police seek charges abc investigation afghan files dpp
local group oppose decision woodside disturb site,negative,neutral,0.6765,0.3123,local group opposes decision for woodside to disturb site
figure highlight low mid north coast rate,positive,negative,0.8912,0.0242,figures highlight lower mid north coast rates
apec protester plead guilty,positive,negative,0.8922,0.1072,apec protester to plead not guilty
pie lead eagle exciting clash,positive,neutral,0.8528,0.1072,pies lead eagles in exciting clash
lion blue,positive,neutral,0.9295,0.0311,lions on top of blues
long service elderly casual worker,negative,neutral,0.5716,0.1022,no long service for elderly casual worker
winemaker share bounce loss,neutral,positive,0.5451,0.0001,winemakers shares bounce back after loss
fitzgibbon welcome obamas grim afghanistan,negative,positive,0.5923,0.4063,fitzgibbon welcomes obamas grim afghanistan
iraq go campaign issue pm,positive,neutral,0.8985,0.0225,iraq going well not a campaign issue pm
rate cap legislation allow variation,positive,neutral,0.6932,0.239,rate capping legislation to allow for variations
perth airport tunnel borer break train station site,negative,neutral,0.8233,0.1622,perth airport tunnel borers break through to train station site
western australia new south wale sheffield shield,positive,neutral,0.7906,0.1294,western australia on top of new south wales in sheffield shield
mortlock waugh wallaby,neutral,negative,0.5675,0.3911,mortlock waugh in for wallabies
west coasters entitle hospital information,positive,neutral,0.8763,0.0243,west coasters entitled to hospital information
disagreement soon nsw,negative,neutral,0.8759,0.1057,disagreement over whether its too soon to call nsw
campaign pledge support mental illness,neutral,positive,0.5714,0.0033,campaign pledges support for those with mental illness
facebook lose value,neutral,negative,0.5034,0.0,facebook loses more than $100 billion in value
pakistan scientist pardon leak,positive,negative,0.8192,0.1785,pakistan scientist may be pardoned for leaks
